date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:03:14	43545/43545	---M-Z	200	added ('OK')	text/html	etag:%22aa19-6241bd2de3347-gzip%22	https://buddsoft.com/templates/4/index.html	C:/Users/HP/Downloads/Telegram%20Desktop/clinic_project/buddsoft.com/templates/4/index.html	(from )
05:03:16	113/113	---MC-	200	added ('OK')	text/plain	date:Tue,%2007%20Jan%202025%2023:33:08%20GMT	https://buddsoft.com/robots.txt		(from )
05:03:17	30451/30451	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2007%20Jan%202025%2023:33:10%20GMT	https://buddsoft.com/templates/4/img/favicon.ico	C:/Users/HP/Downloads/Telegram%20Desktop/clinic_project/buddsoft.com/templates/4/img/favicon.1.delayed	(from https://buddsoft.com/templates/4/index.html)
05:03:18	56517/56517	---M-Z	200	added ('OK')	text/css	etag:%225eb03e60-dcc5%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.10.0/css/all.min.css	C:/Users/HP/Downloads/Telegram%20Desktop/clinic_project/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.10.0/css/all.min.css	(from https://buddsoft.com/templates/4/index.html)
05:03:18	63666/63666	---M-Z	200	added ('OK')	text/css	etag:W/%22f8b2-v7ZMVELJO4O8jF4rcNGwrm8YAaE%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	C:/Users/HP/Downloads/Telegram%20Desktop/clinic_project/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	(from https://buddsoft.com/templates/4/index.html)
05:03:18	2936/2936	---M--	200	added ('OK')	text/css	etag:%22b78-6241bdaa2f2ca%22	https://buddsoft.com/templates/4/lib/owlcarousel/assets/owl.carousel.min.css	C:/Users/HP/Downloads/Telegram%20Desktop/clinic_project/buddsoft.com/templates/4/lib/owlcarousel/assets/owl.carousel.min.css	(from https://buddsoft.com/templates/4/index.html)
05:03:18	16953/16953	---M--	200	added ('OK')	text/css	etag:%224239-6241bd75223bb%22	https://buddsoft.com/templates/4/lib/animate/animate.min.css	C:/Users/HP/Downloads/Telegram%20Desktop/clinic_project/buddsoft.com/templates/4/lib/animate/animate.min.css	(from https://buddsoft.com/templates/4/index.html)
05:03:19	9060/9060	---M--	200	added ('OK')	text/css	etag:%222364-6241bdaa9b54e%22	https://buddsoft.com/templates/4/lib/tempusdominus/css/tempusdominus-bootstrap-4.min.css	C:/Users/HP/Downloads/Telegram%20Desktop/clinic_project/buddsoft.com/templates/4/lib/tempusdominus/css/tempusdominus-bootstrap-4.min.css	(from https://buddsoft.com/templates/4/index.html)
05:03:19	6537/6537	---M--	200	added ('OK')	text/css	etag:%221989-6241bd76240d9%22	https://buddsoft.com/templates/4/lib/twentytwenty/twentytwenty.css	C:/Users/HP/Downloads/Telegram%20Desktop/clinic_project/buddsoft.com/templates/4/lib/twentytwenty/twentytwenty.css	(from https://buddsoft.com/templates/4/index.html)
05:03:19	164236/164236	---M--	200	added ('OK')	text/css	etag:%222818c-6241bd512ca84%22	https://buddsoft.com/templates/4/css/bootstrap.min.css	C:/Users/HP/Downloads/Telegram%20Desktop/clinic_project/buddsoft.com/templates/4/css/bootstrap.min.css	(from https://buddsoft.com/templates/4/index.html)
05:03:19	5938/5938	---M--	200	added ('OK')	text/css	etag:%221732-6241bd512c2b3%22	https://buddsoft.com/templates/4/css/style.css	C:/Users/HP/Downloads/Telegram%20Desktop/clinic_project/buddsoft.com/templates/4/css/style.css	(from https://buddsoft.com/templates/4/index.html)
05:03:20	14295/14295	---M-Z	200	added ('OK')	text/html	etag:%2237d7-6241bd2db0e91-gzip%22	https://buddsoft.com/templates/4/about.html	C:/Users/HP/Downloads/Telegram%20Desktop/clinic_project/buddsoft.com/templates/4/about.html	(from https://buddsoft.com/templates/4/index.html)
05:03:20	16066/16066	---M-Z	200	added ('OK')	text/html	etag:%223ec2-6241bd2e138bd-gzip%22	https://buddsoft.com/templates/4/service.html	C:/Users/HP/Downloads/Telegram%20Desktop/clinic_project/buddsoft.com/templates/4/service.html	(from https://buddsoft.com/templates/4/index.html)
05:03:20	17858/17858	---M-Z	200	added ('OK')	text/html	etag:%2245c2-6241bd2dfaa4a-gzip%22	https://buddsoft.com/templates/4/price.html	C:/Users/HP/Downloads/Telegram%20Desktop/clinic_project/buddsoft.com/templates/4/price.html	(from https://buddsoft.com/templates/4/index.html)
05:03:20	19485/19485	---M-Z	200	added ('OK')	text/html	etag:%224c1d-6241bd2e2b3a7-gzip%22	https://buddsoft.com/templates/4/team.html	C:/Users/HP/Downloads/Telegram%20Desktop/clinic_project/buddsoft.com/templates/4/team.html	(from https://buddsoft.com/templates/4/index.html)
05:03:21	13654/13654	---M-Z	200	added ('OK')	text/html	etag:%223556-6241bd2e2b3a7-gzip%22	https://buddsoft.com/templates/4/testimonial.html	C:/Users/HP/Downloads/Telegram%20Desktop/clinic_project/buddsoft.com/templates/4/testimonial.html	(from https://buddsoft.com/templates/4/index.html)
05:03:21	16349/16349	---M-Z	200	added ('OK')	text/html	etag:%223fdd-6241bd2dcaca4-gzip%22	https://buddsoft.com/templates/4/appointment.html	C:/Users/HP/Downloads/Telegram%20Desktop/clinic_project/buddsoft.com/templates/4/appointment.html	(from https://buddsoft.com/templates/4/index.html)
